Attempting dial: 5000
Attempting dial: 5002
Connected to all clients
(5001, 4) Send | Allowing 5000 to enter critical section
(5001, 5) Send | Allowing 5002 to enter critical section
(5001, 6) Send | Seeking critical section access
(5001, 7) Send | Seeking critical section access
(5001, 14) Recv | Got reply from id 5002
(5001, 15) Recv | Got reply from id 5000
(5001, 16) Internal | Entered critical section
(5001, 17) Recv | queueing request from 5002
(5001, 18) Send | Allowing 5000 to enter critical section
(5001, 19) Internal | Leaving critical section
(5001, 20) Send | Seeking critical section access
(5001, 21) Send | Allowing 5002 to enter critical section (queue release) 
(5001, 22) Send | Seeking critical section access
(5001, 27) Recv | Got reply from id 5000
(5001, 28) Send | Allowing 5000 to enter critical section
(5001, 29) Recv | Got reply from id 5002
(5001, 30) Internal | Entered critical section
(5001, 32) Recv | queueing request from 5002
(5001, 33) Internal | Leaving critical section
(5001, 34) Send | Seeking critical section access
(5001, 35) Send | Allowing 5002 to enter critical section (queue release) 
(5001, 36) Send | Seeking critical section access
(5001, 38) Send | Allowing 5000 to enter critical section
(5001, 42) Recv | Got reply from id 5000
(5001, 42) Recv | Got reply from id 5002
(5001, 43) Internal | Entered critical section
(5001, 44) Internal | Leaving critical section
(5001, 45) Send | Seeking critical section access
